foto,descricao,estrelas,avaliacoes,valor
https://m.media-amazon.com/images/I/51W414vbjzL._AC_UL320_.jpg,Mesa Portátil Notebook Grafite MDF Dobrável Estudar Trabalhar,"4,6 de 5 estrelas ",9  ,"99
,"
https://m.media-amazon.com/images/I/51oKxXNh+XL._AC_UL320_.jpg,"Notebook Ultra, com Windows 11 Home, Tela 15,6 Pol, Processador Celeron N4020C, Memória 4GB 128GB eMMC Cinza - UB261","4,1 de 5 estrelas ",8  ,"1.398
,"
https://m.media-amazon.com/images/I/61E5hcB0lIL._AC_UL320_.jpg,"Notebook Gamer Lenovo LOQ Intel Core i5-12450H 16GB 512GB SSD RTX 2050 15.6"" FHD W11 83EU0001BR","4,6 de 5 estrelas ",46  ,"4.568
,"
https://m.media-amazon.com/images/I/51lGW2nP9qL._AC_UL320_.jpg,Notebook Samsung Galaxy Book4 i5 8GB 256GB W11H NP750XGJ-KG4BR,"4,8 de 5 estrelas ",79  ,"3.224
,"
https://m.media-amazon.com/images/I/719LxJNaSPL._AC_UL320_.jpg,"Notebook HP Intel Core i5-1215U 8GB 256GB SSD 15,6” - Windows 11","4,7 de 5 estrelas ",277  ,"2.944
,"
https://m.media-amazon.com/images/I/61IuifySbUL._AC_UL320_.jpg,"Notebook Lenovo IdeaPad 1i Celeron + Microsoft 365 Personal 4GB 128GB SSD W11 15.6"" 82VX0001BR Prata","4,6 de 5 estrelas ",557  ,"1.799
,"
https://m.media-amazon.com/images/I/51hrZHUPvNL._AC_UL320_.jpg,"Notebook Asus Vivobook 15 X1504za Intel Core i5 1235u 8gb Ram 512gb Ssd Windows 11 Tela 15,6"" Fhd Blue - Nj987w","4,8 de 5 estrelas ",9  ,"3.499
,"
https://m.media-amazon.com/images/I/51-BhhobycL._AC_UL320_.jpg,"Notebook ASUS Vivobook Go 15, Intel Core i3 N305, 8GB, 512GB SSD, W11 Home, Tela 15.6"" FHD, Cool Silver - E1504GA-NJ435W","4,8 de 5 estrelas ",131  ,"2.944
,"
https://m.media-amazon.com/images/I/51jQ9tDsKnL._AC_UL320_.jpg,Notebook Acer Aspire 5 A515-57-53Z5 Intel Core i5 12ªgen Windows 11 Home 8GB 256GB SSD 15.6” FHD,"4,6 de 5 estrelas ",83  ,"2.999
,"
https://m.media-amazon.com/images/I/61KXILvmZ3L._AC_UL320_.jpg,"Notebook Dell Inspiron I15-I120K-M30P 15.6"" Full HD 12ª Geração Intel Core i5 16GB 512GB SSD Windows 11 Preto","4,3 de 5 estrelas ",43  ,"3.629
,"
https://m.media-amazon.com/images/I/51qYgtqNzYL._AC_UL320_.jpg,"Notebook Lenovo Ultrafino IdeaPad 1 i3-1215U 8GB 256GB SSD Windows Home 15.6"" 82VY000SBR Cloud Grey","4,6 de 5 estrelas ",80  ,"2.547
,"
https://m.media-amazon.com/images/I/51Wv-tEUn6L._AC_UL320_.jpg,"Notebook Acer Nitro V15 ANV15-51-58AZ 13ª Geração Intel Core i5-13420H, 8GB RAM, 512GB SSD, NVIDIA RTX 3050, 15.6"" FHD LED IPS 144Hz, Windows 11, Preto, Retroiluminado","4,5 de 5 estrelas ",186  ,"4.248
,"
https://m.media-amazon.com/images/I/61HQNiJlH7L._AC_UL320_.jpg,Notebook Lenovo IdeaPad 1 i3-1215U 4GB 256GB SSD 15.6'' W11,"4,7 de 5 estrelas ",209  ,"2.158
,"
https://m.media-amazon.com/images/I/51Jniq-AKeL._AC_UL320_.jpg,Notebook VAIO® FE15 Core™ i3 Windows 11 Home 8GB 256GB Full HD - Cinza Escuro,"4,5 de 5 estrelas ",5  ,"2.449
,"
https://m.media-amazon.com/images/I/51OEUJyA7-L._AC_UL320_.jpg,"Notebook Ultra Celeron 4GB 120GB SSD N4020 W11H Preto 14.1"" - UB230","4,0 de 5 estrelas ",2  ,"1.199
,"
https://m.media-amazon.com/images/I/51QY3y8PY2L._AC_UL320_.jpg,Notebook Vaio FE15 15.6 FHD i3-1115G4 8GB SSD 256GB Linux Debian 10 Cinza - VJFE55F11X-B0121H,"4,2 de 5 estrelas ",11  ,"2.199
,"
https://m.media-amazon.com/images/I/71iESqOEpeL._AC_UL320_.jpg,"Notebook ASUS Vivobook Go 15, Intel Core i3 N305, 4GB, 128GB SSD, W11 Home, Tela 15.6"" FHD Cool Silver - E1504GA-NJ440W","4,7 de 5 estrelas ",43  ,"2.203
,"
https://m.media-amazon.com/images/I/61tgzJbWSQL._AC_UL320_.jpg,"Notebook Lenovo IdeaPad 1i Intel Core i5-1235U 8GB 512GB SSD Windows 11 Home 14"" 83AF000EBR","4,3 de 5 estrelas ",15  ,"3.039
,"
https://m.media-amazon.com/images/I/51wlchP6e1L._AC_UL320_.jpg,"Notebook Acer Aspire 3 A315-510P-34XC Intel Core i3, 8GB RAM, 256GB SSD, 15.6” LED FULL HD, Windows 11","4,6 de 5 estrelas ",85  ,"2.803
,"
https://m.media-amazon.com/images/I/51qYgtqNzYL._AC_UL320_.jpg,"Notebook Lenovo Ultrafino IdeaPad 1 R3-7320U 8GB 256GB SSD Windows 11 15.6"" 82X5000ABR Cloud Grey","5,0 de 5 estrelas ",1  ,"2.499
,"
https://m.media-amazon.com/images/I/61KXILvmZ3L._AC_UL320_.jpg,"Notebook Dell Inspiron I15-I120K-U10P 15.6"" Full HD 12ª Geração Intel Core i3 8GB 256GB SSD Linux Preto","4,8 de 5 estrelas ",13  ,"2.719
,"
https://m.media-amazon.com/images/I/61KXILvmZ3L._AC_UL320_.jpg,"Notebook Dell Inspiron I15-I120K-M25P 15.6"" Full HD 12ª Geração Intel Core i5 8GB 512GB SSD Windows 11 Preto","4,5 de 5 estrelas ",18  ,"3.459
,"
https://m.media-amazon.com/images/I/613PZt698DL._AC_UL320_.jpg,Notebook Acer ANV15-51-50KD i5 8 512 RTX 2050 Linux,"4,1 de 5 estrelas ",28  ,"3.829
,"
https://m.media-amazon.com/images/I/51TdC6T5YdL._AC_UL320_.jpg,Chromebook Samsung 11.6 Intel 4GB 64GB XE310XBA-KT4BR,"4,5 de 5 estrelas ",92  ,"1.341
,"
https://m.media-amazon.com/images/I/51mtlUsJ3rL._AC_UL320_.jpg,"Galaxy Book2 Intel® Core™ i3-1215U, Windows 11 Home, 4GB, 256GB SSD, 15.6'' Full HD LED, 1.81kg*.","4,6 de 5 estrelas ",196  ,"2.599
,"
https://m.media-amazon.com/images/I/51qYgtqNzYL._AC_UL320_.jpg,"Notebook Lenovo Ultrafino IdeaPad 1 R3-7320U 4GB 256GB SSD Windows Home 15.6"" 82X5000EBR Cloud Grey","5,0 de 5 estrelas ",1  ,"2.184
,"
https://m.media-amazon.com/images/I/61DVg3ECW-L._AC_UL320_.jpg,"HP Laptop portátil (inclui Microsoft 365 de 1 ano), tela HD de 35.6 cm, 16 GB de RAM, 64 GB eMMC, Intel Quad-Core N4120, estudantes e negócios, webcam, HDMI, Wi-Fi, RJ-45, Windows 11 Home, rosa","4,3 de 5 estrelas ",195  ,"2.806
,"
https://m.media-amazon.com/images/I/5179Td+HvEL._AC_UL320_.jpg,Capa Case com Bolso para Notebook 17 polegadas Luva Preto,"4,5 de 5 estrelas ",125  ,"52
,"
https://m.media-amazon.com/images/I/61Hu3pyGtTL._AC_UL320_.jpg,"Galaxy Book4 Ultra Intel® Core™ Ultra 7 155H, Windows 11 Home, 32GB, 1TB SSD, 16'' WQXGA+ AMOLED 2x, antirreflexo, touchscreen, 1.86 kg","5,0 de 5 estrelas ",1  ,"11.474
,"
